Threshold,Precision,Recall,F1
0.37,0.8299319727891157,0.8243243243243243,0.8271186440677966
0.38,0.8299319727891157,0.8243243243243243,0.8271186440677966
0.39,0.8299319727891157,0.8243243243243243,0.8271186440677966
0.4,0.8356164383561644,0.8243243243243243,0.8299319727891157
0.41,0.8356164383561644,0.8243243243243243,0.8299319727891157
0.42,0.8356164383561644,0.8243243243243243,0.8299319727891157
0.43,0.8413793103448276,0.8243243243243243,0.8327645051194539
0.44,0.8413793103448276,0.8243243243243243,0.8327645051194539
0.45,0.8413793103448276,0.8243243243243243,0.8327645051194539
0.46,0.8413793103448276,0.8243243243243243,0.8327645051194539
0.47,0.8413793103448276,0.8243243243243243,0.8327645051194539
0.48,0.8413793103448276,0.8243243243243243,0.8327645051194539
0.49,0.8402777777777778,0.8175675675675675,0.8287671232876712
0.5,0.852112676056338,0.8175675675675675,0.8344827586206897
0.51,0.8581560283687943,0.8175675675675675,0.8373702422145328
0.52,0.8581560283687943,0.8175675675675675,0.8373702422145328
0.53,0.8581560283687943,0.8175675675675675,0.8373702422145328
0.54,0.8571428571428571,0.8108108108108109,0.8333333333333334
0.55,0.8571428571428571,0.8108108108108109,0.8333333333333334
0.56,0.8571428571428571,0.8108108108108109,0.8333333333333334
0.57,0.8633093525179856,0.8108108108108109,0.8362369337979094
0.58,0.8633093525179856,0.8108108108108109,0.8362369337979094
0.59,0.8759124087591241,0.8108108108108109,0.8421052631578947
0.6,0.8759124087591241,0.8108108108108109,0.8421052631578947
0.61,0.8759124087591241,0.8108108108108109,0.8421052631578947
0.62,0.8759124087591241,0.8108108108108109,0.8421052631578947
0.63,0.8759124087591241,0.8108108108108109,0.8421052631578947
0.64,0.8759124087591241,0.8108108108108109,0.8421052631578947
0.65,0.8759124087591241,0.8108108108108109,0.8421052631578947
0.66,0.8759124087591241,0.8108108108108109,0.8421052631578947
0.67,0.875,0.8040540540540541,0.8380281690140845
0.68,0.875,0.8040540540540541,0.8380281690140845
0.69,0.875,0.8040540540540541,0.8380281690140845
0.7,0.875,0.8040540540540541,0.8380281690140845
0.71,0.8880597014925373,0.8040540540540541,0.8439716312056738
0.72,0.8880597014925373,0.8040540540540541,0.8439716312056738
0.73,0.8880597014925373,0.8040540540540541,0.8439716312056738
0.74,0.8880597014925373,0.8040540540540541,0.8439716312056738
0.75,0.8880597014925373,0.8040540540540541,0.8439716312056738
0.76,0.8880597014925373,0.8040540540540541,0.8439716312056738
0.77,0.8947368421052632,0.8040540540540541,0.8469750889679716
0.78,0.8947368421052632,0.8040540540540541,0.8469750889679716
0.79,0.8939393939393939,0.7972972972972973,0.8428571428571429
0.8,0.8939393939393939,0.7972972972972973,0.8428571428571429
0.81,0.8939393939393939,0.7972972972972973,0.8428571428571429
0.82,0.8939393939393939,0.7972972972972973,0.8428571428571429
0.83,0.9007633587786259,0.7972972972972973,0.8458781362007168
0.84,0.9007633587786259,0.7972972972972973,0.8458781362007168
0.85,0.9007633587786259,0.7972972972972973,0.8458781362007168
0.86,0.9007633587786259,0.7972972972972973,0.8458781362007168
0.87,0.9007633587786259,0.7972972972972973,0.8458781362007168
0.88,0.9007633587786259,0.7972972972972973,0.8458781362007168
0.89,0.9007633587786259,0.7972972972972973,0.8458781362007168
0.9,0.9,0.7905405405405406,0.841726618705036
0.91,0.9,0.7905405405405406,0.841726618705036
0.92,0.9,0.7905405405405406,0.841726618705036
0.93,0.9,0.7905405405405406,0.841726618705036
0.94,0.8992248062015504,0.7837837837837838,0.8375451263537906
0.95,0.90625,0.7837837837837838,0.8405797101449275
0.96,0.9126984126984127,0.777027027027027,0.8394160583941606
0.97,0.9274193548387096,0.777027027027027,0.8455882352941176
0.98,0.9338842975206612,0.7635135135135135,0.8401486988847584
0.99,0.940677966101695,0.75,0.8345864661654135
